upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations,Latitude,Longitude
Abhaynagar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",23.0176025927716,89.4205979424802
Adabor,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7701668896032,90.3533359093861
Adamdighi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.7992398458837,89.0594639409147
Aditmari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.9450030228971,89.3694349545382
Agailjhara,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,22.9678403876019,90.1407594105487
Ajmiriganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.5533020504169,91.2841623684452
Akhaura,Eastern Surma-Kushiyara Floodplain,80-110,Medium,Flood risk. Soil stability can vary significantly.,23.838581165162,91.1951466993564
Akkelpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.9340420693261,89.0419267106988
Alamdanga,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.729424249271,88.9081820289126
Alfadanga,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.2969194095938,89.6698460906953
Alikadam,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,21.6000009872034,92.38471427463
Amtali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.0749017745157,90.2025489732529
Anowara,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.2017732818624,91.8813777171918
Araihazar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.7609006292114,90.6687589915595
Ashuganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.0157902050362,91.018341547148
Assasuni,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.5191311813901,89.187407344862
Atgharia,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.1082573514787,89.2820036066748
Atpara,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.7913435802862,90.8760761933407
Atrai,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.6252395723402,88.987887538453
Atwari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.2495351754239,88.4263984883222
Austagram,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.3230078302937,91.1215929504701
Babuganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8234806927111,90.3146109233531
Badalgachhi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.965857763686,88.9434192194203
Badarganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",25.6659646245106,89.0563197962923
Badda,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7980059737992,90.4489364855456
Bagati Para,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.3122442675998,88.9467486244056
Bagerhat Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.6775417991489,89.7632943007069
Bagha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,24.2004611205448,88.8283768392257
Baghai Chhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,23.3728571211966,92.2295151322256
Bagher Para,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.2423105654809,89.3356384496365
Baghmara,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.5911021224198,88.8107704712025
Bahubal,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.3605683865881,91.5464924267408
Bajitpur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,24.2245114432298,90.9510815825362
Bakalia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.3470489242948,91.8555766906664
Bakerganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.5530135962746,90.3845954707401
Bakshiganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.,25.2147578155469,89.8525988037099
Balaganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.6954263552329,91.7733334193886
Balia Kandi,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.,23.6496317080731,89.5506061021266
Baliadangi,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations.",26.108443963974,88.2637359248098
Bamna,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.2723965795592,90.0579601794136
Banari Para,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.8117355962934,90.1285511807085
Banchharampur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.,23.7801217633043,90.8070140380557
Bandar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.6376664136049,90.5377706970943
Bandarban Sadar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.,22.1708701408923,92.2183006458013
Bangshal,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.,23.7180105791302,90.4050423835812
Baniachong,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils.",24.4946991968983,91.3654079075497
Banshkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.0158198822648,91.9397914523852
Baraigram,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.,24.2736902934458,89.1476814644287
Barguna Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed.",22.1345257537365,90.1089171274888
