upazila,Predominant_Soil_Region,General_Bearing_Capacity_kN_m2,Building_Suitability,Key_Considerations
Abhaynagar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Adabor,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Adamdighi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Aditmari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Agailjhara,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Ajmiriganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Akhaura,Eastern Surma-Kushiyara Floodplain,80-110,Medium,Flood risk. Soil stability can vary significantly.
Akkelpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Alamdanga,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Alfadanga,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Alikadam,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Amtali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Anowara,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Araihazar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Ashuganj,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Assasuni,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Atgharia,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Atpara,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Atrai,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Atwari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Austagram,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Babuganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Badalgachhi,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Badarganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Badda,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Bagati Para,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Bagerhat Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Bagha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Baghai Chhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Bagher Para,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Baghmara,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Bahubal,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Bajitpur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Bakalia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Bakerganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Bakshiganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Balaganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Balia Kandi,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Baliadangi,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Bamna,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Banari Para,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Banchharampur,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Bandar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Bandarban Sadar,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Bangshal,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Baniachong,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Banshkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Baraigram,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Barguna Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Barhatta,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Barisal Sadar (Kotwali),Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Barkal,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Barlekha,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Barura,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Basail,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Batiaghata,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Bauphal,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Bayejid Bostami,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Beani Bazar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Begumganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Belabo,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Belai Chhari,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Belkuchi,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Bera,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Betagi,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Bhairab,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Bhaluka,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Bhandaria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Bhanga,Young Ganges River Floodplain,65-95,Medium,Recent floodplain deposits. Soft soils with moderate compressibility.
Bhangura,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Bhedarganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Bheramara,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Bhola Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Bholahat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Bhuapur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Bhurungamari,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Bijoynagar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Biman Bandar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Biral,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Birampur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Birganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Bishwambarpur,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Bishwanath,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Boalia,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Boalkhali,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Boalmari,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Bochaganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Boda,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Bogra Sadar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Brahman Para,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Brahmanbaria Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Burhanuddin,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Burichang,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Cantonment,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Chak Bazar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Chakaria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Chandanaish,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Chandgaon,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Chandina,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Chandpur Sadar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Char Bhadrasan,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Char Fasson,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Char Rajibpur,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Charghat,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Chatkhil,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Chatmohar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Chauddagram,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Chaugachha,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Chauhali,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Chhagalnaiya,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Chhatak,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Chilmari,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Chirirbandar,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Chitalmari,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Chittagong Port,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Chuadanga Sadar,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Chunarughat,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Comilla Adarsha Sadar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Comilla Sadar Dakshin,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Companiganj,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Companiganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Cox's Bazar Sadar,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Dacope,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Daganbhuiyan,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Dakshin Sunamganj,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Dakshin Surma,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Dakshinkhan,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Damudya,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Damurhuda,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Darus Salam,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Dashmina,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Daudkandi,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Daulatkhan,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Daulatpur,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Daulatpur,Ganges River Floodplain,70-100,Medium,Risk of flooding. Soil can be soft and compressible.
Debhata,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Debidwar,Old Meghna Estuarine Floodplain,75-105,Medium,Some flood risk. Soil is more consolidated than young floodplains.
Debiganj,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Delduar,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Demra,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Derai,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Dewanganj,Old Brahmaputra Floodplain,80-110,Medium,Moderate flood risk. Mixed sand and silt soils.
Dhamoirhat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Dhamrai,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Dhanbari,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Dhanmondi,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Dharampasha,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Dhobaura,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Dhunat,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Dhupchanchia,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Dighalia,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Dighinala,Hill Soils,80-110,Low-Medium,High erosion and landslide risk. Requires extensive geotechnical investigation.
Dimla,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Dinajpur Sadar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Dohar,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Domar,Old Himalayan Piedmont Plain,120-150,High,"Stable, well-drained land. Good for all types of foundations."
Double Mooring,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Dowarabazar,Surma-Kushiyara Floodplain,60-90,Medium,"Very low-lying, high flood risk. Soft, organic-rich soils."
Dumki,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Dumuria,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Durgapur,Madhupur Tract,90-120,Medium-High,Moderately stable. Shrink-swell potential in dry seasons.
Durgapur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
Fakirhat,Young Tidal Floodplain,50-80,Low-Medium,"Very soft, saline, and compressible. High water table. Special foundations needed."
Faridganj,Young Meghna Estuarine Floodplain,55-85,Low-Medium,"Soft, compressible soils with high water table. Significant flood risk."
Faridpur,Barind Tract,100-130,Medium-High,Generally stable but can be hard and compacted in dry season.
