Place,Division,Flood_Frequency,Last_Major_Flood_Year,Notes,Primary_Sources,Latitude,Longitude
Sherpur,Mymensingh Division,Medium,2017/2024,Riverine/monsoon flooding; district-level floods reported in BWDB annual reports.,FFWC Annual Report; ICIMOD,25.0188,90.0175
Mymensingh,Mymensingh Division,Medium,2017,Monsoon and flash floods affect Mymensingh; inundation mapped in MODIS/ICIMOD datasets.,ICIMOD; MODIS inundation studies,24.7434,90.3984
Rangpur,Rangpur Division,Medium-High,2024,Large-area flood susceptibility in Rangpur Division; several recent riverine events.,Rangpur flood risk studies; Reuters 2024,25.7449,89.2756
Sylhet,Sylhet Division,High,2022,Frequent flash floods in Sylhet; 2022 event was record-breaking in some districts.,Research on Sylhet floods; Flood Observatory,24.899,91.872
Jamalpur,Mymensingh Division,Medium,2017,Riverine floods associated with Brahmaputra/tributary flows; district floods reported in 2017.,FFWC Annual Report; ICIMOD,24.923,89.9501
Nagar Naluakot,Dhaka Division,Unknown,,Place name ambiguous; recommend clarifying exact location to assign frequency.,,,
Karnaphuli,Chittagong,Medium,2021,Karnaphuli River basin subject to riverine/monsoon flooding; localized events and landslides in region.,Floodlist; Bangladesh news,,
Bhairab Bazar,Dhaka Division,Medium-High,2017,Located on major river confluences; periodic inundation reported.,BWDB reports; local flood studies,,
Ashuganj City,Chittagong,Medium-High,2017,Riverside location (Meghna/Ilisha region) with recurrent riverine flooding.,FFWC; local reports,,
Saidpur,Rangpur Division,Medium,2015/2017,Affected by river overflow and monsoon rains; district flood reports exist.,District reports; research articles,,
Kafrul,Dhaka Division,High (urban),2017/2024,Part of Greater Dhaka — frequent urban flooding during monsoon; drainage/urban runoff issues documented.,World Bank Dhaka urban flooding; urban flood studies,,
Dhaka,Dhaka Division,High,1988/1998/2004/2024,"Greater Dhaka has a long history of urban and riverine floods; major events include 1988, 1998, 2004 and recent monsoon impacts.",World Bank; research articles,23.8103,90.4125
Rangamati,Chittagong,High (flash/landslide),2024,"Hilly and valley terrain: flash floods and landslides more frequent, especially during heavy monsoons.",Local flood studies; 2024 flood reports,,
Narsingdi,Dhaka Division,Medium-High,2017,Near Meghna river system; repeated inundation reported at district level.,FFWC; ICIMOD reports,23.9207,90.7188
Gazipur,Dhaka Division,Medium,2017,Part of Greater Dhaka; urban flooding and drainage-related floods occur in heavy monsoon seasons.,World Bank urban flooding; local reports,24.0,90.4167
Paltan,Dhaka Division,High (urban),2017,Central Dhaka neighbourhood — urban flash flooding during heavy rains.,Dhaka urban flood studies,23.725,90.421
Bhatara,Dhaka Division,Unknown,,Ambiguous place name; recommend clarifying for precise assignment.,,,
Tungi,Dhaka Division,Medium,2017,Part of Dhaka metro/timing adjacent areas — experiences urban flooding.,Local flood reports,23.912,90.3889
Savar,Dhaka Division,Medium,2017,Peri-urban area with river/pond inundation during monsoon.,World Bank Dhaka datasets; local reports,23.8583,90.2667
Shibganj,Rajshahi Division,Medium,2019,Northwestern flood-prone areas; riverine inundation episodes.,District reports; BWDB,,
